algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
hamming,YFGEFXGDP,010010100110011001100110011010011000001111100110001001011001100110011001001011110000100110000011111001100100110001001010000000,010010100110011001100110011010011000001111100010001001011001100110011001001011110000100110000011111001100100110001001010000000,1,45,correcta,1,0.37,0.168
hamming,HZQMB,1001100111000001001011011010010010111010011001100101010110011000101010,1001100111000001001011011010010010111010011001100101010110011000101010,0,-1,correcta,1,0.35,0.183
hamming,XSLWQCZB,0100101111000001001011000011100110001111000100101000111101001011101001100110010000110100101101101010011000101010,0100101111000001001011000011100110001111000100101000111101001011101001100110010000110100101101101010011000101010,0,-1,correcta,1,0.3,0.041
hamming,CESFXJYEM,100110010000111001100010010101001011000011100110011001100100101111000010011001011010010010100110011001100010010110011001010101,100110010000111001100010010101001011000011100110011001100100101111000010011001011010010010100110011001100010010110011001010101,0,-1,correcta,1,0.34,0.026
hamming,REGHPL,010010101010101001100010010110011000001111100110011100000100101000000010011000111100,010010101010101001100010010110011000001111100110011100000100101000000010011000111100,0,-1,correcta,1,0.3,0.122
hamming,MTFF,10011001010101010010110011001001100110011010011001100110,10011001010101010010110011001001100110011010011001100110,0,-1,correcta,1,0.38,0.025
hamming,GSTAHL,100110000011110100101100001101001011001100100110011010011001100111000010011000111100,100110000011110100101100001101001011001100100110011010011001100111000010011000111100,0,-1,correcta,1,0.31,0.107
hamming,JMKGO,1001100101101010011001010101100110001100111001100000111110011001111111,1001100101101010011001010101100110001100111001100000111110011001111111,0,-1,correcta,1,0.29,0.082
hamming,IPPA,10011000011001010010100000000100101000000010011001101001,10011000011001010010100000000100101000000010011011101001,1,48,correcta,1,0.25,0.151
hamming,XYMNCD,010010111100000100101001100110011001010101100110000101101001100100001110011001001100,010010111100000100101001100110011001010101100110000101101001100100001110011001001100,0,-1,correcta,1,0.63,0.185
hamming,ZGDEX,0100101101101010011000001111100110010011001001100010010101001011110000,0100101101101010011000001111100110010011001001100010010101001011110000,0,-1,correcta,1,0.33,0.041
hamming,WQCALM,010010100011110100101110100110011001000011100110011010011001100011110010011001010101,010010100011110100101110100110011001000011100110011010011001100011110010011001010101,0,-1,correcta,1,0.34,0.042
hamming,HLQIMSMJD,100110011100001001100011110001001011101001100110000110011001100101010101001011000011100110010101011001100101101010011001001100,100110011100001001100011110001001011101001100110010110011001100101010101001011000011100110010101011001100101101010011001001100,1,49,correcta,1,0.33,0.071
hamming,GYJBHSSTB,100110000011110100101001100110011001011010100110001010101001100111000001001011000011010010110000110100101100110010011000101010,100110000011110100101001100110011001011010100110001010101001100111000001001011000011010010110000110100101100110010011000101010,0,-1,correcta,1,0.34,0.049
