algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,UWE,0101010101010111010001010000000010011010010101111110111110101110,0101010101010111010001010000000010011010010101111110111110101110,0,-1,error_detectado,0,0.42,0.197
fletcher,RKRMKCVUX,0101001001001011010100100100110101001011010000110101011001010101010110000000000010011110001100011100101100100010,0101001001001011010100100100110101001011010000110101011001010101010110000000000010011110001100011100101100100010,0,-1,error_detectado,0,0.4,0.104
fletcher,IRXEDB,01001001010100100101100001000101010001000100001011100101110110011101000011000011,01001001010100100101100001000101010001000100001011100101110110011101000011000011,0,-1,error_detectado,0,0.42,0.062
fletcher,EQWX,0100010101010001010101110101100010011100101010011110000111111010,0100010101010001010101110101100010011100101010011110000111111010,0,-1,error_detectado,0,0.4,0.166
fletcher,AMMXRYCH,010000010100110101001101010110000101001001011001010000110100100000100100010001111101010100111000,010000010100110101001101010110000101001001011001010000110100100000100100010001111101010100111000,0,-1,error_detectado,0,0.44,0.128
fletcher,LKSTGGPRAW,0100110001001011010100110101010001000111010001110101000001010010010000010101011101111000100100001000001010011011,0100110001001011010100110101010001000111010001110101000001010010010000010101011101111000100100001000001010011011,0,-1,error_detectado,0,0.74,0.174
fletcher,PMHUUKZ,010100000100110101001000010101010101010101001011010110100000000001000111111011100001111011001100,010100000100110101001000010101010101010101001011010110100000000001000111111011100001111011001100,0,-1,error_detectado,0,0.43,0.06
fletcher,CFKXQDBH,010000110100011001001011010110000101000101000100010000100100100000100010001010111101001111110010,010000110100011001001011010110000101000101000100010000100100100000100010001010111101001111110010,0,-1,error_detectado,0,0.66,0.146
fletcher,BPUOD,01000010010100000101010101001111010001000000000011011011100111111011010110001111,01000010010100000101010101001111010001000000000011011011100111111011010110001111,0,-1,error_detectado,0,0.39,0.013
fletcher,TZZ,0101010001011010010110100000000010101110010110100000001010110101,0101010001011010010110100000000010101110010110100000001010110101,0,-1,error_detectado,0,517.12,0.018
fletcher,TQBUFKLAJ,0101010001010001010000100101010101000110010010110100110001000001010010100000000001110011001100110110010001010000,0101010001010001010000100101010101000110010010110100110001000001010010100000000001110011001100110110010001010000,0,-1,error_detectado,0,2.7,0.186
fletcher,NPMTPZFL,010011100101000001001101010101000101000001011010010001100100110000110010010010110000100000111111,010011100101000001001101010101000101000001011010010001100100110000110010010010110000100000111111,0,-1,error_detectado,0,1.58,0.033
fletcher,RKIXWB,01010010010010110100100101011000010101110100001011110010111001011110000011010100,01010010010010110100100101011000010101110100001011110010111001011110000011010100,0,-1,error_detectado,0,0.62,0.133
fletcher,WZJFZ,01010111010110100100101001000110010110100000000011111011101000001111010010011011,01010111010110100100101001000110010110100000000011111011101000001111010010011011,0,-1,error_detectado,0,0.78,0.191
fletcher,PAGMFLL,010100000100000101000111010011010100011001001100010011000000000000101001110110111110111110000101,010100000100000101000111010011010100011001001100010011000000000000101001110110111110111110000101,0,-1,error_detectado,0,2.98,0.182
fletcher,XNTZYJD,010110000100111001010100010110100101100101001010010001000000000001001001111100110101010011011101,010110000100111001010100010110100101100101001010010001000000000001001001111100110101010011011101,0,-1,error_detectado,0,0.93,0.145
fletcher,XLVH,0101100001001100010101100100100010101110100101000000011011100001,0101100001001100010101100100100010101110100101000000011011100001,0,-1,error_detectado,0,1.88,0.134
fletcher,YYSV,0101100101011001010100110101011010101100101011110000011000001001,0101100101011001010100110101011010101100101011110000011000001001,0,-1,error_detectado,0,1.31,0.118
fletcher,OZJRHUS,010011110101101001001010010100100100100001010101010100110000000000110101000000100000000000001011,010011110101101001001010010100100100100001010101010100110000000000110101000000100000000000001011,0,-1,error_detectado,0,7.1,0.081
fletcher,NUVPWE,01001110010101010101011001010000010101110100010111111011111010101110111011100101,01001110010101010101011001010000010101110100010111111011111010101110111011100101,0,-1,error_detectado,0,6.88,0.17
fletcher,FCPRWHC,010001100100001101010000010100100101011101001000010000110000000000110000110111101111101110010100,010001100100001101010000010100100101011101001000010000110000000000110000110111101111101110010100,0,-1,error_detectado,0,3.43,0.095
fletcher,FXD,0100011001011000010001000000000010001010010110001101000010110000,0100011001011000010001000000000010001010010110001101000010110000,0,-1,error_detectado,0,6.07,0.063
